zone,LocationID,borough,lat,lon
Lower East Side,148,Manhattan,40.71826706967133,-73.99121829709992
Marble Hill,153,Manhattan,40.87456934756948,-73.91181743207267
Marine Park/Floyd Bennett Field,154,Brooklyn,40.59456452976672,-73.91474343187208
Marine Park/Mill Basin,155,Brooklyn,40.613248888983684,-73.90199773984642
Mariners Harbor,156,Staten Island,40.64078797613253,-74.17392405851037
Melrose South,159,Bronx,40.819890777201245,-73.91345145068449
Maspeth,157,Queens,40.723503047577246,-73.90391721148785
Meatpacking/West Village West,158,Manhattan,40.73689618882253,-74.01048596077102
Middle Village,160,Queens,40.719344787452535,-73.88297626085782
Midtown Center,161,Manhattan,40.757752716131506,-73.97734956618415
Midtown East,162,Manhattan,40.75651709620399,-73.97262465557132
Midtown North,163,Manhattan,40.76556053479537,-73.97875694697719
Midtown South,164,Manhattan,40.748531963438936,-73.98474777346334
Murray Hill,170,Manhattan,40.747472556701666,-73.97830323301746
Midwood,165,Brooklyn,40.621715330369476,-73.95822171558686
Morningside Heights,166,Manhattan,40.810671030378124,-73.96361252038452
Morrisania/Melrose,167,Bronx,40.825668799115064,-73.90502042853326
Ocean Parkway South,178,Brooklyn,40.61784697466658,-73.97150439948604
Mott Haven/Port Morris,168,Bronx,40.804259571695184,-73.91207005267076
Mount Hope,169,Bronx,40.84814861093819,-73.90635890451843
Murray Hill-Queens,171,Queens,40.768050651289165,-73.80758324504949
New Dorp/Midland Beach,172,Staten Island,40.56889695565619,-74.1046264820135
North Corona,173,Queens,40.75417939234658,-73.8614587686266
Norwood,174,Bronx,40.8786646578181,-73.88201558324992
Oakland Gardens,175,Queens,40.743645931682636,-73.75525834025694
Old Astoria,179,Queens,40.7723951022611,-73.93012305797602
Oakwood,176,Staten Island,40.564554195098246,-74.12135895690838
Ocean Hill,177,Brooklyn,40.67706821129366,-73.91202939695617
Ozone Park,180,Queens,40.67630724147049,-73.84852847556856
Park Slope,181,Brooklyn,40.670745306957485,-73.98067035444839
Parkchester,182,Bronx,40.83709465826658,-73.85863371434993
Pelham Bay,183,Bronx,40.849368885652694,-73.83110403455547
Pelham Bay Park,184,Bronx,40.86223830714166,-73.79654954464327
Pelham Parkway,185,Bronx,40.85436975812299,-73.85295520236146
Penn Station/Madison Sq West,186,Manhattan,40.74858480358324,-73.99199923695822
Prospect Heights,189,Brooklyn,40.676708439357945,-73.96813104653077
Prospect Park,190,Brooklyn,40.66106113805119,-73.97256948695825
Port Richmond,187,Staten Island,40.63270612849576,-74.13612899476675
Prospect-Lefferts Gardens,188,Brooklyn,40.65874201122463,-73.94809135303362
Queens Village,191,Queens,40.716929521619356,-73.74242883808004
Queensboro Hill,192,Queens,40.74406129735975,-73.81465247430953
Queensbridge/Ravenswood,193,Queens,40.762742594836155,-73.93909312925491
Randalls Island,194,Manhattan,40.791828610393374,-73.92573914151376
Rego Park,196,Queens,40.726170532463335,-73.86395836116252
Red Hook,195,Brooklyn,40.67444683810141,-74.0130318573868
Rosedale,203,Queens,40.64409088403533,-73.74492430236548
Richmond Hill,197,Queens,40.6954854507583,-73.82909581332207
Ridgewood,198,Queens,40.70735961699391,-73.90416789786218
Rikers Island,199,Bronx,40.7934892675596,-73.88068296554151
Soundview/Bruckner,212,Bronx,40.82796669212999,-73.8681661409755
Soundview/Castle Hill,213,Bronx,40.81535011511072,-73.85036547882947
Riverdale/North Riverdale/Fieldston,200,Bronx,40.898948834163185,-73.90818464748968
Rossville/Woodrow,204,Staten Island,40.539923370538745,-74.20884595334947
Rockaway Park,201,Queens,40.5787532923435,-73.83824585815488
Roosevelt Island,202,Manhattan,40.761762952076936,-73.95021026144616
Saint Albans,205,Queens,40.69287531816104,-73.76427255413262
Saint George/New Brighton,206,Staten Island,40.64055721778459,-74.099940321269
Saint Michaels Cemetery/Woodside,207,Queens,40.76376514860705,-73.89765319869636
Schuylerville/Edgewater Park,208,Bronx,40.820159663477355,-73.81485110652388
Seaport,209,Manhattan,40.70827300211535,-74.00226657374267
Sheepshead Bay,210,Brooklyn,40.59000377112895,-73.93013717269702
SoHo,211,Manhattan,40.72351128730761,-74.00219049199994
South Beach/Dongan Hills,214,Staten Island,40.58392472989537,-74.07929472400535
South Jamaica,215,Queens,40.69474293071044,-73.79207212094727
South Ozone Park,216,Queens,40.676476000236406,-73.81713132159453
South Williamsburg,217,Brooklyn,40.704056796537415,-73.95803772593743
Springfield Gardens North,218,Queens,40.672930908294646,-73.77276119912624
Springfield Gardens South,219,Queens,40.66196104753324,-73.77040398540943
Stuyvesant Heights,225,Brooklyn,40.68873732053208,-73.93046973359641
Spuyten Duyvil/Kingsbridge,220,Bronx,40.882295274217945,-73.91204946489354
Stuy Town/Peter Cooper Village,224,Manhattan,40.731621756275175,-73.97432494659836
Sunnyside,226,Queens,40.72699995173411,-73.92583673387942
Stapleton,221,Staten Island,40.62045813852949,-74.07219202846687
Starrett City,222,Brooklyn,40.64477562570474,-73.88412935697347
Steinway,223,Queens,40.782078492613586,-73.89569965177402
Sunset Park East,227,Brooklyn,40.63975193057991,-74.00686328972994
Sunset Park West,228,Brooklyn,40.6554784297184,-74.01194748357683
Sutton Place/Turtle Bay North,229,Manhattan,40.7557843396339,-73.96428391749836
Times Sq/Theatre District,230,Manhattan,40.75960675437492,-73.98431328446868
TriBeCa/Civic Center,231,Manhattan,40.7188479126715,-74.0098801216536
Upper West Side South,239,Manhattan,40.78479094272765,-73.98317024389998
Two Bridges/Seward Park,232,Manhattan,40.71359386694201,-73.98295429854691
UN/Turtle Bay South,233,Manhattan,40.74629905130546,-73.96956393934465
Union Sq,234,Manhattan,40.73930962587746,-73.99013084814277
University Heights/Morris Heights,235,Bronx,40.85413220003512,-73.91715837221275
Upper East Side North,236,Manhattan,40.78026297126913,-73.95713832046145
Upper East Side South,237,Manhattan,40.768456095306036,-73.9656660315101
Upper West Side North,238,Manhattan,40.79238761227657,-73.97406636327196
Van Cortlandt Park,240,Bronx,40.890799942234416,-73.8790846452564
Van Cortlandt Village,241,Bronx,40.875342517728605,-73.89597174141076
Woodhaven,258,Queens,40.68764043950458,-73.8547316409158
Van Nest/Morris Park,242,Bronx,40.84851394968643,-73.84922971365071
West Brighton,245,Staten Island,40.63234667885526,-74.10379674803767
Yorkville West,263,Manhattan,40.779019850645746,-73.95019865397909
Washington Heights North,243,Manhattan,40.85737312681302,-73.93751947033388
Washington Heights South,244,Manhattan,40.84284998700477,-73.94325607354217
Willets Point,253,Queens,40.762045302849465,-73.84220212215652
West Chelsea/Hudson Yards,246,Manhattan,40.750104825775466,-74.00811097157028
West Concourse,247,Bronx,40.830233394475115,-73.9240763207325
West Farms/Bronx River,248,Bronx,40.834861716929126,-73.87366158191142
West Village,249,Manhattan,40.733810702857056,-74.0030813009047
Windsor Terrace,257,Brooklyn,40.656034146973816,-73.9784265861912
Westchester Village/Unionport,250,Bronx,40.83434445930391,-73.84496166598409
Westerleigh,251,Staten Island,40.6165027464217,-74.12607421786724
Whitestone,252,Queens,40.79509713890863,-73.81498804996959
Williamsbridge/Olinville,254,Bronx,40.882392827159634,-73.85905547067354
Williamsburg (North Side),255,Brooklyn,40.719651411168726,-73.96167244815558
Williamsburg (South Side),256,Brooklyn,40.71073579169564,-73.96294028477239
Woodlawn/Wakefield,259,Bronx,40.90010738774882,-73.85363505790909
Woodside,260,Queens,40.74643854356609,-73.90590742873152
World Trade Center,261,Manhattan,40.70745550442848,-74.0139831619428
Yorkville East,262,Manhattan,40.77836286230128,-73.9434888289842
