Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
b00833,OMEGA CAR SERVICE INC.,,2020,1,January,563,0,3
B02253,"CRESTWOOD CAR & LIMO SVC,LTD",,2016,5,May,561,0,11
B00151,KINGSBAY CAR SERVICE INC,,2018,2,February,293,0,29
B01300,KENNEDY RAD DISP INC,,2017,2,February,12258,0,104
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2020,8,August,24,0,1
B00419,KOOP DISPATCHING INC.,,2019,4,April,2348,0,6
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2021,5,May,375,0,13
B00429,SURF CAR SYSTEMS INC,,2019,12,December,3184,0,29
B00095,LIBERTY CAR SERVICE INC.,,2021,11,November,984,0,6
B02509,NY MINUTE CAR SERVICE INC.,,2021,2,February,4682,0,29
b00990,"MIRAGE LIMOUSINE SERVICE, INC.",UFO PVT C/L SERVICE,2016,9,September,76,0,1
B02987,7 WAYS TRANSPORTATION CORP.,,2020,12,December,33,0,1
B02901,GALLANT LUXURY SERVICE CORP.,,2017,12,December,3282,0,49
B02653,NEW COLLEGE CAR SVCE INC,,2021,7,July,3743,0,28
B02997,KALUMA TRANSPORTATION GROUP INC.,,2020,10,October,36,0,13
B01938,"ALL STAR LIMOUSINE SERVICE, LTD.",,2022,2,February,819,0,24
B00446,COMMUNICAR INCORPORATED,,2019,9,September,3254,0,73
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2021,10,October,3665,0,37
B01194,440 CAR SERVICE INC.,,2018,7,July,3320,0,18
B02826,NEW BELL LUXURY CORP,,2020,7,July,4983,0,36
B03129,PHASE ONE TRANSPORT INC.,,2019,1,January,523,0,12
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,2017,11,November,2126,0,7
B00619,"HOLA CAR SERVICE,INC.",,2020,12,December,88,0,4
B02817,ANYTIME FORSYTH TRANSPORT CORP,,2019,1,January,1290,0,14
B02972,BLESSING TRANSPORTATION GROUP INC,,2018,2,February,486,0,8
B01559,MUNKACS CAR SVC LTD,,2019,8,August,2688,0,15
B02962,"HEALTH BLACK CAR SERVICES, CORP",ADON,2018,12,December,288,0,5
B02769,MAVROS TRANSPORTATION INC,,2019,1,January,2030,0,13
B02731,EMES OF BOROPARK CAR SERVICE INC,,2017,9,September,645,0,3
B03240,ARECIBO EXPRESS INC.,,2020,12,December,366,0,19
B02217,PCS LIMOUSINE INC.,,2016,7,July,503,0,13
B02525,"HTP, INC.",,2016,9,September,1518,0,24
B02794,ASAP LUXE INC,,2015,4,April,3391,0,35
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",,2017,9,September,35076,0,175
B01710,"79 MASADA III, INC.",MASADA III,2019,9,September,8193,0,35
B03338,A & T NYC LIMO LLC,,2020,11,November,34,0,1
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2017,12,December,35638,0,586
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2015,6,June,416,0,13
B02853,SAFE RIDES CAR & LIMO SERVICES INC,,2020,2,February,15,0,3
B01529,J.I.G. TRANSPORT CORP.,ECKFORD CAR SERVICE,2018,6,June,1253,0,13
B01800,EMPIRE INTERNATIONAL LTD.,,2019,3,March,8602,0,255
B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,NYMEX CAR SERVICE,2020,5,May,2073,0,41
B01009,UNITED LIMO C/M SVC CORP,,2018,7,July,483,0,10
B01436,NEW PRONTO TRANSP INC,,2022,3,March,180,0,8
B02929,OTTOMAN TRANSPORTATION INC.,,2019,4,April,26,0,3
B01233,NEW LACONIA RAD DISP INC,,2017,4,April,2438,0,98
B01259,THE NEW BROOKLYN C/S INC,,2020,5,May,2665,0,12
B00001,LONDON TOWNCARS INC,,2018,7,July,917,0,27
B00619,"HOLA CAR SERVICE,INC.",,2019,8,August,6523,0,38
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,2017,2,February,1432,0,55
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2019,8,August,2032,0,23
B03143,LUXORIDE INC,CITYROAD,2019,3,March,6,0,5
B02980,ADVANTAGE LIMO OF NY INC,,2017,3,March,392,0,6
B02298,NYG LIMOUSINE LLC,,2017,1,January,639,0,27
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2015,11,November,21185,0,131
B02508,"DISPATCH CENTRAL, INC.",,2017,1,January,25,0,6
B00112,"AYY&M TRANSPORTATION, LLC",HARBORVIEW CAR SERVICE,2019,5,May,5455,0,16
B01437,MERENGUE LIMO & C/S INC,,2021,5,May,18171,0,93
B02339,SEDANZ INC.,,2017,10,October,197,0,5
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,2015,11,November,2195,0,28
B03331,GIGI NYC INC,,2021,2,February,113,0,2
B02988,"BED STAR DRIVERS ASSOCIATES, INC",,2020,11,November,663,0,7
B01318,LOWER EAST SIDE C/S CORP,,2016,1,January,16133,0,66
B03116,NAVI TRANSPORTATION INC.,,2020,9,September,681,0,5
B02738,EXPLORER CAR SERVICE INC.,,2021,10,October,12,0,1
B01332,SKYWAY CAR SERVICE EXPRESS INC.,,2015,10,October,1548,0,15
B00222,"REYNO CAR SVC, INC.",,2019,7,July,1956,0,14
B00536,"WINTHROP HOLDING OF NEW YORK, INC",,2016,1,January,9490,0,41
B01285,UNION RADIO DISPATCH INC,,2021,4,April,8128,0,40
B03002,"REYNO,INC.",,2017,4,April,3320,0,20
B01061,DAT RADIO DISP INC,,2018,12,December,33124,0,134
B02892,SEAMAN EXPRESS CORP.,,2020,6,June,17,0,3
B00459,910 CAR SERVICE INC,,2017,8,August,7294,0,47
B02929,OTTOMAN TRANSPORTATION INC.,,2019,11,November,205,0,4
B03174,NEW HEAVEN LUXURY INC,,2018,12,December,51,0,2
B00919,HARLEM CARS INC.,,2017,2,February,11344,0,76
B01452,AREAS TRANSP INC,,2021,5,May,719,0,4
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",,2015,7,July,43743,0,208
B02794,ASAP LUXE INC,,2019,4,April,1842,0,10
B02167,MADISON LIMOUSINE INC,,2015,10,October,53,0,2
B02182,"FINEST CAR SERVICE, LLC",,2018,11,November,5157,0,49
B01800,EMPIRE INTERNATIONAL LTD.,,2017,7,July,6924,0,261
B02834,811 TRANSIT CORP,,2020,5,May,2368,0,7
B02860,EVERY WHERE LIMO SERVICE INC.,,2017,11,November,38,0,1
B00014,NY ONE CORP CAR INC,,2018,2,February,5743,0,133
B02947,"ONIX TRANSPORTATION, INC",,2018,11,November,12133,0,64
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2017,9,September,1119,0,33
B02774,ALFRED HOLDINGS INC.,ALFRED EXECUTIVE TRANSPORTATION,2016,10,October,4675,0,61
B01081,GEORGE TOWN MANAGEMENT INC,,2019,9,September,1317,0,10
B00208,ERNEST SCHWARZ INC,,2016,1,January,181,0,6
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,N.Y. MEXICANA CAR SERVICE,2017,7,July,2385,0,25
JUNO,JUNO,JUNO,2019,11,November,105879,0,12940
B01273,PUERTO RICO CAR SERVICE INC.,,2020,7,July,283,0,1
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2017,5,May,1007,0,5
B01738,SAETA CAR SERVICE INC.,,2019,8,August,2440,0,14
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2021,5,May,2757,0,11
B02120,HARRISON GLOBAL LLC,BOSTON COACH,2016,9,September,8129,0,150
b00833,OMEGA CAR SERVICE INC.,,2021,1,January,335,0,1
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2017,8,August,2564,0,20
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2018,2,February,92,0,7
B00030,TREMONT DISPATCHING CORP,,2018,1,January,519,0,4
B01215,ECUADOOR CORP,,2020,11,November,2158,0,15
B03327,DAHLIA TRANSPORTATION CORP.,,2021,6,June,190,0,4
B02931,NEW TECHNOLOGY TRANSPORTATION INC.,,2016,7,July,4602,0,123
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2018,10,October,31058,0,521
B02157,REAGAN CONVEYANCE  CORP.,DELUX TRANSPORTATION SERVICES,2018,7,July,4550,0,148
B02996,FOREVER BLUE CAR SERVICE INC.,,2017,5,May,5989,0,32
B00477,INTA-BORO ACRES INC,,2018,3,March,9258,0,169
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2017,8,August,14694,0,118
B01989,"ICS-NY, INC.",,2016,1,January,430,0,22
B00411,FONE-A-CAR INC,,2019,10,October,1046,0,47
B01215,ECUADOOR CORP,,2016,5,May,20997,0,74
B02848,V R WORLDWIDE INC,,2018,5,May,63,0,4
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2022,1,January,328,0,12
B02724,"CORE CAR, INC",,2021,5,May,54,0,8
B00727,RECHEV OF BROOKLYN INC,,2019,5,May,1572,0,5
B00556,SURREY CADILLAC LIMO SVC INC,,2022,1,January,233,0,10
B02715,GROUNDANYWHERE LLC,,2017,10,October,18476,0,722
B02308,NORWOOD CAR & LIMO INC.,,2015,10,October,1148,0,24
B02751,RELIANCE GROUP INC,,2019,10,October,99,0,10
B02594,FENIX MOBILE DISPATCHERS LTD,,2020,4,April,106,0,1
B01343,ALL PEOPLE CAR SERVICE INC.,,2019,4,April,238,0,1
B00955,GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.,,2019,11,November,418,0,9
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,2018,8,August,3488,0,21
B02803,OUTSIDE'S CAR SERVICE INC.,,2019,8,August,8005,0,48
B02998,GENESIS LUXURY TRANSPORTATION CORP.,,2019,7,July,5345,0,29
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2018,12,December,2063,0,43
B02301,DOUBLE A CAR SERVICE INC.,UNITED CARS,2019,6,June,1197,0,41
B01963,AFRO CAR SERVICE CORP,,2020,1,January,1651,0,13
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2018,3,March,3553,0,15
B01190,NEW BELL CAR SERVICE CORP,,2017,6,June,8202,0,50
B00477,INTA-BORO ACRES INC,,2021,2,February,1959,0,41
B00053,CHARGE AND RIDE INC,,2019,4,April,771,0,40
B00955,GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.,,2016,5,May,2981,0,38
B02970,FLYTE LINE TRANSPORTATION LLC,ADDISON LEE,2018,3,March,4884,0,125
B03008,CROWN CAR & LIMO SERVICE INC.,,2017,7,July,99,0,7
B02308,NORWOOD CAR & LIMO INC.,,2018,5,May,187,0,4
B01928,DISCOVER LIMO INC,INFINITY LIMO,2021,7,July,11,0,2
B01339,R C AUDUBON SVC INC,,2021,9,September,5501,0,44
B02060,AMERICAN LIMOUSINE LLC,FLYTE TYME WORLDWIDE/ADDISON LEE/TRISTAR,2019,1,January,7488,0,229
B01877,U.S.A. LIMO. INC.,BLUE LINE,2016,12,December,6330,0,166
B02920,AMAZING CAR AND LIMO SERVICE INC,,2018,7,July,1344,0,7
B02248,HYBRID LIMO EXPRESS INC.,,2016,10,October,1334,0,7
B00381,BELL RADIO INC,,2018,5,May,4936,0,100
B02996,FOREVER BLUE CAR SERVICE INC.,,2022,6,June,816,0,15
B02732,KESHES INC,,2018,8,August,2359,0,13
B02424,FRIENDLY RIDE INC,,2021,5,May,121,0,7
B02762,SHOWTIME TRANSPORTATION CORP.,,2017,6,June,1802,0,32
B01600,R & N CAR SERVICE INC.,EVERYWHERE CAR SERVICE,2020,9,September,198,0,7
B01413,SFL INC,,2020,1,January,1607,0,42
B01338,3210 WEBSTER AV PRESTIGE C/S,,2021,4,April,3775,0,62
B01087,ELITE LIMO PLUS INC,,2017,3,March,11403,0,265
B00623,MANHATTAN INT'L LIMO NETWORK LLC,,2022,2,February,158,0,6
B02522,CHAUFFEURED EXECUTIVE TRANSPORTATION LLC,,2020,1,January,325,0,11
B03158,SPOTON.PET LLC,,2022,1,January,32,0,4
B02797,CJ LIMOUSINE LLC,,2020,9,September,81,0,9
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2019,9,September,30436,0,177
B00948,510 CAR SERVICE CORP,,2017,4,April,19387,0,108
B02924,CELEBRITY LUXURY INC.,,2017,5,May,5418,0,38
B00821,ATLANTIC CAR SVCE,,2021,7,July,14377,0,76
B02373,QUIET SERVICES INC,GOLDEN CLASS LIMO,2017,12,December,70,0,4
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2018,2,February,448,0,16
B03116,NAVI TRANSPORTATION INC.,,2022,2,February,557,0,4
B02191,US LIMO SYSTEM INC,,2018,8,August,335,0,16
B02145,NEW 2020 CAR SERVICE INC,,2018,12,December,1032,0,8
B02797,CJ LIMOUSINE LLC,,2018,8,August,292,0,13
B00647,KISS CAR SERVICE INC,,2018,11,November,37663,0,191
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,2017,9,September,783,0,33
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2017,7,July,561,0,7
B00888,ACE C/L SVCE INC,,2019,10,October,1492,0,34
B00693,BUSHWICK CAR SVCE INC,,2017,3,March,8792,0,41
B03037,RIDE SOLUTION WORLDWIDE INC,,2021,4,April,4,0,2
B00911,"RIVERSIDE PLUS RADIO DISPATCH, INC.",NEW WEBSTER CAR & LIMO SERVICE,2017,11,November,8445,0,58
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2021,3,March,166,0,5
B00552,HINO-MARU ENTERPRISES INC.,,2018,2,February,276,0,40
B01118,INTERNATIONAL CAR SERVICE INC.,,2018,7,July,1195,0,9
B02243,BARONAS LUXURY II INC,,2017,3,March,2183,0,90
B03147,H H CAR SERVICE INC,,2019,3,March,263,0,11
B02157,REAGAN CONVEYANCE  CORP.,DELUX TRANSPORTATION SERVICES,2017,2,February,5341,0,154
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2017,6,June,29080,0,166
B02975,LI YANG LIMOUSINE INC,,2018,1,January,2843,0,24
B02424,FRIENDLY RIDE INC,,2020,3,March,117,0,15
B02924,CELEBRITY LUXURY INC.,,2022,4,April,15,0,9
B03204,EXTRA CAR SERVICE LLC,,2022,1,January,1,0,1
B01985,"LUXURY WORLDWIDE TRANSPORTATION, LLC",,2018,2,February,1021,0,52
B03031,ALLIANCE LIMOUSINE INC,,2019,12,December,66,0,6
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2016,5,May,851,0,20
B01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,,2018,9,September,1352,0,6
B01362,AMERICAN BASE NO.1 INC.,,2017,2,February,16494,0,120
B01346,ARECIBO C/S INC,,2020,2,February,2309,0,20
B02532,COZY RIDE LIMOUSINE INC,COZY TRANSIT,2016,3,March,3899,0,30
B01536,FIRST CLASS C/L SVC CORP,,2017,7,July,21026,0,145
B02826,NEW BELL LUXURY CORP,,2016,11,November,6466,0,72
B00030,TREMONT DISPATCHING CORP,,2017,12,December,1541,0,5
B03284,MYLE WORLDWIDE INC,,2020,2,February,438,0,295
B02546,X RADIO DISPATCHER INC.,,2022,2,February,5715,0,30
B00222,"REYNO CAR SVC, INC.",,2015,10,October,5548,0,41
B03162,IMPERIUM TRANS GROUP INC,,2019,9,September,7405,0,35
B02962,"HEALTH BLACK CAR SERVICES, CORP",ADON,2019,6,June,472,0,6
B00255,CAUTIOUS CARS CORP,,2019,4,April,270,0,17
B02794,ASAP LUXE INC,,2016,9,September,52,0,2
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2019,8,August,5211,0,39
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2015,7,July,10056,0,126
B01118,INTERNATIONAL CAR SERVICE INC.,,2018,6,June,599,0,13
B02670,STRIDE TRANSPORTATION INC.,,2020,6,June,59,0,14
B02657,MALCOLM LIMO EXPRESS CORP.,,2017,1,January,2154,0,15
B01779,APEX CAR & LIMO SVCE INC,,2021,8,August,185,0,9
B02736,TRINITY CAR SERVICE INC,,2020,8,August,296,0,6
B03240,ARECIBO EXPRESS INC.,,2019,9,September,7,0,3
B02534,DV LUXURY TRANSPORTATION CORPORATION,,2019,11,November,7024,0,82
B02191,US LIMO SYSTEM INC,,2015,11,November,1391,0,32
B01803,"V.I.P. CONNECTION, INC.",CARLINK,2019,11,November,2867,0,86
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2022,3,March,151,0,6
B01051,B Q N C/S CORP,,2018,7,July,18207,0,110
B01231,GO CAR CORP.,,2017,3,March,6734,0,33
B01273,PUERTO RICO CAR SERVICE INC.,,2019,7,July,684,0,3
B01559,MUNKACS CAR SVC LTD,,2018,7,July,2460,0,12
B01593,"NOVAK GLOBAL, INC.",SKYWAY CAR SERVICE,2015,4,April,2901,0,13
B02599,CMS LIMO INC.,,2020,7,July,2,0,1
B00014,NY ONE CORP CAR INC,,2019,6,June,5746,0,122
B01764,QUICK RIDE CORP.,,2016,2,February,1178,0,12
B00623,MANHATTAN INT'L LIMO NETWORK LLC,,2018,8,August,613,0,7
B01285,UNION RADIO DISPATCH INC,,2019,2,February,12355,0,66
B01263,"RACHEL'S CAR SERVICE,INC.",,2019,8,August,1103,0,7
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2018,7,July,380,0,7
B02184,"DMCLS, INC.",,2018,9,September,217,0,6
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,2017,9,September,990,0,8
B02515,OLS LIMOUSINE SERVICE INC.,,2015,11,November,27,0,2
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2020,12,December,573,0,13
B02550,AGAPE LUXURY CORP.,,2018,9,September,23776,0,212
B00225,DELANCEY TRANSPORTATION INC.,,2016,8,August,15008,0,85
B02751,RELIANCE GROUP INC,,2016,1,January,20,0,2
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,2015,10,October,12315,0,52
b00802,BELL CAR SVC INC,,2016,3,March,20367,0,71
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,2019,3,March,1964,0,43
B02050,"MAZIN  CAR & LIMO SVC., LLC",,2015,12,December,9725,0,7
B00111,SKYLINE CREDIT RIDE INC,,2018,9,September,13399,44,253
B03346,ASHER TRANSPORTATION INC,,2021,10,October,725,0,7
B00001,LONDON TOWNCARS INC,,2019,7,July,845,0,24
B02148,MAVRIK TRANS INC.,,2019,10,October,469,0,23
B01194,440 CAR SERVICE INC.,,2017,8,August,4587,0,24
B01678,"G.T.N.Y. CAR SERVICE, INC.",,2019,2,February,237,0,16
B01479,PRATT CAR SERVICE INC,,2019,2,February,230,0,2
B01913,MIRAGE LIMOUSINE SERVICE INC,,2021,6,June,309,0,10
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2016,6,June,54801,0,662
B01525,NORTHSIDE BK LLC,,2018,5,May,6226,0,123
B03308,B.S.Z. LUXURY BLACK CAR INC.,,2022,6,June,104,0,16
B02566,GSL LIMOUSINES CORP.,,2021,1,January,154,0,21
B02461,NEW HEAVEN RADIO DISPATCH CORP,,2017,10,October,6690,0,84
B01367,"ROYAL DISPATCH SERVICES, INC.",EXECUTIVE CARS,2015,6,June,6019,0,109
B01145,ULTRA RADIO DISP INC,,2019,12,December,46447,0,236
B01318,LOWER EAST SIDE C/S CORP,,2017,3,March,9677,0,41
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2020,2,February,9628,0,58
B02160,"12TH STREET LUXURY CARS, INC.",,2018,1,January,61,0,18
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,2018,10,October,3826,0,12
B01644,MUSIC EXPRESS/N.Y. INC,,2017,4,April,2297,0,54
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,2016,8,August,1355,0,15
B03292,PIBE TRANSPORTATION INC.,,2021,4,April,80,0,4
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2019,10,October,43234,0,528
B02687,ECO RIDE INC.,ELECTRIC BLUE CAR SERVICE,2022,6,June,1017,0,5
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2017,10,October,2864,0,18
B03085,A & A AMAZOON TRANSPORTATION INC.,,2020,8,August,63,0,19
B01394,KINGSWAY CAR & LIMO SVC INC,,2016,9,September,655,0,4
B03331,GIGI NYC INC,,2021,5,May,332,0,3
B01970,GRAFE STREET SERVICE CORP.,,2018,5,May,512,0,7
B00369,BOULEVARD OPERATING INC.,,2017,5,May,625,0,19
B01738,SAETA CAR SERVICE INC.,,2018,1,January,2572,0,15
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2021,9,September,2597,0,11
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2022,2,February,87,0,6
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2015,2,February,29104,0,164
B00411,FONE-A-CAR INC,,2016,11,November,1403,0,57
B02614,MEXICO LA  NEW POBLANITA EXPRESS INC.,,2016,10,October,4203,0,23
B02429,SEAGULL RIDE CORP,,2020,4,April,724,0,6
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2021,11,November,12161,0,103
B02180,PEGASUS TRANSPORT SERVICE INC.,,2020,6,June,1,0,1
B02747,LEGEND LUXURY LIMO INC.,,2017,10,October,3142,0,45
B03286,"MITA LIMOUSINE, INC.",,2022,1,January,122,0,11
B02546,X RADIO DISPATCHER INC.,,2016,12,December,26676,0,149
B02677,"A.T.B. CAR AND LIMOUSINE SERVICE, INC.",,2019,8,August,6539,0,28
B02838,THA MAYA CAR SERVICE INC,,2018,6,June,553,0,7
B02826,NEW BELL LUXURY CORP,,2018,8,August,2098,0,28
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2017,9,September,355,0,21
B02106,"PERFECT LIMO SERVICE, INC.",,2015,9,September,27,0,9
B03032,A & S LIMOUSINE SERVICE CORP,,2020,2,February,4104,0,23
B00693,BUSHWICK CAR SVCE INC,,2016,8,August,10248,0,77
B01626,LA NUEVA QUISQUEYA C/S INC,,2016,4,April,44681,0,157
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2020,1,January,2216,0,21
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2018,12,December,792,0,24
B01454,FREEDOM LIMO & CAR SERVICE,,2017,11,November,11795,0,56
B01913,MIRAGE LIMOUSINE SERVICE INC,,2019,7,July,663,0,24
B02594,FENIX MOBILE DISPATCHERS LTD,,2019,9,September,1356,0,6
B02229,NEW FAT INC.,ELEGANTE,2015,11,November,22448,0,231
B01190,NEW BELL CAR SERVICE CORP,,2018,1,January,4989,0,28
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2019,11,November,1021,0,320
LYFT,LYFT,LYFT,2020,11,November,3090686,0,34305
B02093,V.J. CAR & LIMO SVC INC.,,2017,10,October,1927,0,4
B01738,SAETA CAR SERVICE INC.,,2016,3,March,2827,0,15
B02287,ROAD NEW YORK ENTERPRISES INC.,DAI-ICHI LIMOUSINE,2018,7,July,125,0,6
B02989,GOOD FRIENDS CAR SERVICE INC,,2020,8,August,2856,0,15
B01268,LAKEVIEW CARS INC.,CLOVE LAKE CARS,2022,6,June,1899,0,86
B01118,INTERNATIONAL CAR SERVICE INC.,,2020,9,September,3695,0,36
B02975,LI YANG LIMOUSINE INC,,2019,7,July,3167,0,23
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2019,4,April,1380,0,9
B01332,SKYWAY CAR SERVICE EXPRESS INC.,,2016,5,May,1562,0,15
B02661,MIC-LOU CAR SERVICES_LLC,LULU CAR SERVICES,2020,12,December,1448,0,9
B01678,"G.T.N.Y. CAR SERVICE, INC.",,2022,4,April,2437,0,29
B00965,BEN JEVO MGT. INC.,NEWPORT CAR SERVICE,2022,2,February,7097,0,51
B02881,DIANE CAR AND LIMO SERVICE LLC,,2020,10,October,3754,0,19
B01215,ECUADOOR CORP,,2017,12,December,12759,0,54
B03030,Q-FIRST LIMOUSINE CORP.,,2017,9,September,198,0,16
B02005,CAR LINE TRANSPORTATION CORP.,CAR LINE TRANSPORTATION CORP.,2015,12,December,1198,0,31
B01721,W.K. CAR & LIMO SERVICE INC,,2018,9,September,3274,0,25
B03262,ROYALTY FAMILY CORP,,2022,6,June,1060,0,15
B02217,PCS LIMOUSINE INC.,,2016,4,April,523,0,12
B03157,CAPRICE CAR SERVICE CORP.,,2022,3,March,4690,0,33
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2018,6,June,2432,0,9
B02463,MORENITA EXPRESS CAR SERVICE INC.,,2018,11,November,1139,0,5
B02942,FANNY RADIO DISPATCHER SERVICE INC.,,2017,10,October,865,0,7
B00955,GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.,,2016,6,June,2639,0,45
B02924,CELEBRITY LUXURY INC.,,2018,3,March,5818,0,47
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2018,5,May,7896,0,21
B01236,BLS LIMO SVC OF NY INC,,2016,10,October,3082,0,45
B02989,GOOD FRIENDS CAR SERVICE INC,,2020,2,February,1725,0,20
B00536,"WINTHROP HOLDING OF NEW YORK, INC",,2017,9,September,5607,0,24
B00889,MEXICANA CAR SERVICE INC.,,2015,10,October,21198,0,87
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2016,1,January,8767,0,31
B00472,FARRELL'S LEASING CO.,,2017,5,May,1206,0,56
B01285,UNION RADIO DISPATCH INC,,2016,11,November,28514,0,158
B02167,MADISON LIMOUSINE INC,,2021,10,October,31,0,2
B00296,PRIME TIME TRANS. INC,,2016,2,February,1700,0,57
B00346,MERRICK C/S INC,,2015,10,October,1533,0,8
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",,2022,5,May,3872,0,23
B02144,"SILVER STAR LIMOUSINES, INC.",,2016,7,July,293,0,12
B02762,SHOWTIME TRANSPORTATION CORP.,,2021,5,May,631,0,8
B02956,W.K.EXPRESS LIMO SERVICE INC,,2018,1,January,2,0,1
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2018,11,November,1864,0,10
B02898,SANO CAR LLC,,2019,9,September,3,0,3
B01492,MOBILE #1 CAR SERVICE INC.,,2017,8,August,73,0,7
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2020,2,February,464,0,14
B02851,GALLANT CAR SERVICE CORP.,,2018,2,February,107,0,2
B02809,NBT TRANSPORTATION INC,,2015,11,November,1542,0,21
B02667,LEON LUXURY LIMO INC,,2016,5,May,105,0,5
B01328,DV LUXURY CAR SERVICE INC,RIDE SAFE CAR SERVICE,2019,12,December,3781,0,69
B02944,SCORPIO FIVE STAR CAR & LIMO SERVICE INC,,2020,6,June,1450,0,9
B02480,WOODHAVEN LIMOUSINE INC,,2016,7,July,734,0,30
B02834,811 TRANSIT CORP,,2021,7,July,1629,0,4
B01336,BAY EXPRESS CORP.,,2018,8,August,2679,0,20
B02962,"HEALTH BLACK CAR SERVICES, CORP",ADON,2021,10,October,1257,0,11
B03297,ABA LUXURY CAR INC.,,2021,5,May,266,0,13
B03367,SHOW LIMO CORP.,,2022,3,March,107,0,11
B01215,ECUADOOR CORP,,2015,11,November,20597,0,76
B01469,"BROTHERS CAR SERVICE, INC.",,2018,7,July,6014,0,45
B02397,CHICO EXPRESS CORP. 2,,2017,4,April,2867,0,10
B02093,V.J. CAR & LIMO SVC INC.,,2018,6,June,867,0,2
B00225,DELANCEY TRANSPORTATION INC.,,2016,6,June,17521,0,90
