DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
2022/6/16,1.5,8.1,0,0,21.7,16.1
2022/6/17,2.8,0,0,0,31.1,20.6
2022/6/18,3.9,0,0,0,23.9,14.4
2022/6/19,3.1,0,0,0,22.8,12.2
2022/6/20,1.6,0,0,0,25.6,13.9
2022/6/21,1.1,1.5,0,0,26.7,17.2
2022/6/22,2.2,0.5,0,0,19.4,16.7
2022/6/23,1.4,2,0,0,23.3,16.1
2022/6/24,1.3,0,0,0,27.2,17.2
2022/6/25,1,0,0,0,32.2,20.6
2022/6/26,1.6,0,0,0,31.7,23.3
2022/6/27,1.3,7.4,0,0,25,20.6
2022/6/28,1.1,0,0,0,26.1,18.9
2022/6/29,0.9,0,0,0,28.9,18.9
2022/6/30,1.3,0,0,0,30,20.6
2022/7/1,1.7,0,0,0,32.8,22.8
2022/7/2,1.4,0,0,0,30.6,22.8
2022/7/3,1.7,0,0,0,31.1,22.8
2022/7/4,1.2,0,0,0,29.4,18.3
2022/7/5,2,2.3,0,0,30.6,21.1
2022/7/6,2.3,0,0,0,29.4,21.7
2022/7/7,2.2,0,0,0,28.9,20.6
2022/7/8,0.6,6.1,0,0,28.3,20
2022/7/9,1.3,0,0,0,29.4,21.7
2022/7/10,2.6,0,0,0,28.3,19.4
2022/7/11,2.3,0,0,0,29.4,19.4
2022/7/12,2.6,0,0,0,32.2,21.1
2022/7/13,1.2,0,0,0,32.8,23.3
2022/7/14,1.7,0,0,0,32.2,22.2
2022/7/15,2,0,0,0,30,22.8
2022/7/16,1.2,28.2,0,0,29.4,18.9
2022/7/17,1.1,0,0,0,28.3,21.7
2022/7/18,1.3,47,0,0,27.2,20.6
2022/7/19,2.3,0,0,0,32.2,22.8
2022/7/20,1.8,0,0,0,35,25.6
2022/7/21,1.8,4.1,0,0,33.3,23.3
2022/7/22,1.2,0,0,0,34.4,25.6
2022/7/23,0.9,0,0,0,35,25.6
2022/7/24,2.2,0,0,0,35,26.1
2022/7/25,2.1,24.9,0,0,30,22.8
2022/7/26,1.7,0,0,0,27.2,21.7
2022/7/27,1,0,0,0,29.4,21.1
2022/7/28,1.7,0.5,0,0,30.6,22.8
2022/7/29,1.5,2.5,0,0,29.4,22.2
2022/7/30,2.1,0,0,0,30.6,22.8
2022/7/31,0.9,0,0,0,30,21.7
2022/8/1,1.2,12.2,0,0,25,20
2022/8/2,1.6,0,0,0,32.2,22.2
2022/8/3,1.4,0,0,0,31.7,21.7
2022/8/4,1.6,0,0,0,33.9,24.4
2022/8/5,1.5,0,0,0,31.7,25.6
2022/8/6,1.8,0,0,0,33.3,25
2022/8/7,2.5,4.1,0,0,33.3,24.4
2022/8/8,2.4,0,0,0,33.9,26.1
2022/8/9,2.2,0.8,0,0,36.1,25.6
2022/8/10,1.6,0,0,0,30.6,23.9
2022/8/11,1,2.8,0,0,31.7,22.2
2022/8/12,2.5,0,0,0,29.4,21.7
2022/8/13,2,0,0,0,26.1,18.3
2022/8/14,1.2,0,0,0,27.8,18.9
2022/8/15,0.8,0,0,0,28.3,20
2022/8/16,2.5,0,0,0,28.3,18.9
2022/8/17,1.5,8.6,0,0,27.2,17.2
2022/8/18,1.3,0,0,0,30.6,16.7
2022/8/19,1.6,0,0,0,32.2,20.6
2022/8/20,1.3,0,0,0,32.2,23.3
2022/8/21,1.2,0,0,0,27.8,22.2
2022/8/22,1.2,5.8,0,0,26.1,22.8
2022/8/23,1.3,0,0,0,30,22.2
2022/8/24,1.7,0,0,0,32.2,21.7
2022/8/25,1.1,0,0,0,32.8,22.2
2022/8/26,1.3,6.1,0,0,30.6,23.3
2022/8/27,1.7,0,0,0,32.2,23.3
2022/8/28,2.3,0,0,0,27.8,22.8
2022/8/29,1.3,0,0,0,29.4,23.9
2022/8/30,1.9,3,0,0,31.7,22.8
2022/8/31,2.3,0,0,0,29.4,20.6
2022/9/1,1.8,0,0,0,30,20.6
2022/9/2,1.7,0,0,0,26.1,16.7
2022/9/3,1,0,0,0,27.8,18.3
2022/9/4,1.2,0,0,0,32.2,21.7
2022/9/5,0.9,1.5,0,0,31.1,22.8
2022/9/6,1.7,19.8,0,0,23.3,19.4
2022/9/7,2.9,0,0,0,22.2,18.3
2022/9/8,1.8,0,0,0,25.6,18.3
2022/9/9,1.6,0,0,0,26.7,16.7
2022/9/10,1.1,0,0,0,30,17.8
2022/9/11,1.2,8.1,0,0,24.4,19.4
2022/9/12,0.6,20.6,0,0,27.2,20
2022/9/13,1.7,10.4,0,0,27.8,20
2022/9/14,2.5,0,0,0,26.7,16.7
2022/9/15,2.6,0,0,0,23.3,16.7
2022/9/16,0.9,0,0,0,23.9,13.9
2022/9/17,2.1,0,0,0,24.4,17.8
2022/9/18,2.5,0,0,0,28.3,19.4
2022/9/19,1.6,3.6,0,0,29.4,20
2022/9/20,1.8,0,0,0,26.1,19.4
2022/9/21,1.4,0,0,0,26.7,16.7
2022/9/22,3.3,11.9,0,0,23.9,13.9
2022/9/23,4.3,0,0,0,17.2,10.6
2022/9/24,1.8,0,0,0,20.6,9.4
2022/9/25,1.5,28.2,0,0,22.2,15
2022/9/26,2.6,0,0,0,23.3,14.4
2022/9/27,1.9,0,0,0,21.1,15
2022/9/28,1.8,0,0,0,20.6,11.7
2022/9/29,2.6,0,0,0,18.9,11.7
2022/9/30,3.1,0,0,0,16.7,11.1
2022/10/1,4.5,15,0,0,16.1,10.6
2022/10/2,5.5,0,0,0,15.6,10
2022/10/3,4.7,11.9,0,0,11.7,8.3
2022/10/4,4.4,47,0,0,12.8,7.8
2022/10/5,2.4,9.4,0,0,15,12.2
2022/10/6,1.3,0,0,0,23.3,11.7
2022/10/7,2.1,0,0,0,24.4,14.4
2022/10/8,2.1,0.8,0,0,14.4,8.3
2022/10/9,1.6,0,0,0,16.1,6.7
2022/10/10,1.5,0,0,0,19.4,11.1
2022/10/11,1.2,0,0,0,21.1,10.6
2022/10/12,1.6,0,0,0,21.1,13.9
2022/10/13,1.8,20.3,0,0,20.6,12.2
2022/10/14,1.7,4.8,0,0,19.4,11.1
2022/10/15,1.3,0,0,0,20,10
2022/10/16,1.2,0,0,0,17.8,11.1
2022/10/17,1.7,3.6,0,0,18.9,11.7
2022/10/18,2.5,0,0,0,13.3,7.8
2022/10/19,2.5,0,0,0,12.2,5.6
2022/10/20,2.5,0,0,0,14.4,6.7
2022/10/21,1,0,0,0,16.7,7.8
2022/10/22,1.2,0,0,0,18.9,9.4
2022/10/23,3.2,0.5,0,0,16.1,12.2
2022/10/24,3.4,13.2,0,0,16.1,12.8
2022/10/25,1.1,0,0,0,21.1,16.1
2022/10/26,1.3,0,0,0,22.2,15.6
2022/10/27,3,0,0,0,18.3,11.1
2022/10/28,2.5,0,0,0,13.3,7.2
2022/10/29,1.5,0,0,0,14.4,6.1
2022/10/30,0.4,0,0,0,17.2,6.1
2022/10/31,0.7,2.5,0,0,18.3,10.6
2022/11/1,1.7,2,0,0,19.4,15
2022/11/2,1,0,0,0,21.1,12.2
2022/11/3,0.9,0,0,0,19.4,11.1
2022/11/4,0.9,0,0,0,21.1,11.7
2022/11/5,1.8,0,0,0,24.4,17.8
2022/11/6,1.9,0,0,0,23.9,18.9
2022/11/7,2.7,0,0,0,25,12.2
2022/11/8,3.2,0,0,0,14.4,8.3
2022/11/9,2,0,0,0,11.7,4.4
2022/11/10,1.3,0,0,0,18.9,8.3
2022/11/11,1.6,22.6,0,0,20,15
2022/11/12,2.3,2,0,0,20.6,15.6
2022/11/13,2.6,1,0,0,16.1,5
2022/11/14,2.8,0,0,0,7.2,2.8
2022/11/15,3,14.2,0,0,7.8,1.7
2022/11/16,3.6,7.1,0,0,10,3.9
2022/11/17,3.4,0,0,0,7.8,2.8
2022/11/18,2.6,0,0,0,6.7,1.1
2022/11/19,2.6,0,0,0,4.4,-0.5
2022/11/20,4.3,0,0,0,4.4,-1
2022/11/21,2.8,0,0,0,5,-2.7
2022/11/22,2.4,0,0,0,10.6,2.8
2022/11/23,2,0,0,0,12.8,5.6
2022/11/24,1.7,0,0,0,12.2,4.4
2022/11/25,3.5,0.5,0,0,12.8,7.8
2022/11/26,3.1,0,0,0,13.9,5.6
2022/11/27,2.5,17.8,0,0,15.6,8.9
2022/11/28,3.3,0,0,0,12.2,5
2022/11/29,1.3,0,0,0,6.7,2.2
2022/11/30,3.1,12.7,0,0,14.4,4.4
2022/12/1,3.7,0,0,0,6.1,1.7
2022/12/2,1.7,0,0,0,8.3,0
2022/12/3,3.1,12.4,0,0,14.4,7.2
2022/12/4,2.2,0,0,0,7.2,3.3
2022/12/5,1.3,0,0,0,8.9,2.2
2022/12/6,2.3,26.7,0,0,14.4,5.6
2022/12/7,1.5,6.6,0,0,15,12.2
2022/12/8,2.1,0,0,0,12.8,5.6
2022/12/9,3,0,0,0,7.2,2.2
2022/12/10,3.2,0,0,0,3.9,0
2022/12/11,3.6,8.1,0,0,4.4,0.6
2022/12/12,2.6,0.3,0,0,3.3,-2.1
2022/12/13,1.8,0,0,0,4.4,-3.8
2022/12/14,3.3,0,0,0,3.9,-0.5
2022/12/15,3.8,13,0,0,5.6,0.6
2022/12/16,5,21.6,0,0,6.7,3.3
2022/12/17,3.6,0,0,0,6.7,2.2
2022/12/18,3.4,0,0,0,4.4,0
2022/12/19,3.4,0,0,0,3.9,-0.5
2022/12/20,2.5,0,0,0,3.9,-1
2022/12/21,0.7,0,0,0,4.4,-2.7
2022/12/22,3.8,5.8,0,0,8.3,1.7
2022/12/23,4.5,46.5,0,0,14.4,-13.2
2022/12/24,5.1,0,0,0,-9.3,-13.8
2022/12/25,3.8,0,0,0,-2.1,-9.9
2022/12/26,3.2,0,0,0,-1.6,-7.7
2022/12/27,2.5,0,0,0,1.7,-1.6
2022/12/28,2.3,0,0,0,8.3,0.6
2022/12/29,2.7,0,0,0,10.6,4.4
2022/12/30,1.3,0,0,0,16.7,7.8
2022/12/31,0.8,7.1,0,0,12.8,10
