License Number,Entity Name,Telephone Number,SHL Endorsed,Building,Street,City,State,Postcode,Type of Base,Latitude,Longitude,Date,Time,Location
B02320,GDS TRANSPORTATION CORP.,2129274600,No,2400,AMSTERDAM AVENUE,NEW YORK,NY,10033,LIVERY BASE,40.847055,-73.93205,07/12/2023,18:00:13,"(40.847055, -73.93205)"
B03050,"TORINKO NY, LLC",2125186584,No,150,GREEN STREET,VALLEY STREAM,NY,11580,BLACK CAR BASE,40.667703,-73.7239409,07/12/2023,18:00:13,"(40.667703, -73.7239409)"
B02756,ALLY CAR SERVICE LLC,7184357777,No,2939,AVENUE Y,BROOKLYN,NY,11235,LIVERY BASE,40.591996,-73.93961,07/12/2023,18:00:13,"(40.591996, -73.93961)"
B02897,FC LIMOUSINE INC,2126530087,No,85 - 56,118 STREET,KEW GARDENS,NY,11415,LUXURY/LIMOUSINE,40.764583,-73.83384,07/12/2023,18:00:13,"(40.764583, -73.83384)"
B02823,AAA FAMILY LIMOUSINE SERVICE INC,7183170055,No,12,ELTINGVILLE BOULEVARD,STATEN ISLAND,NY,10312,LUXURY/LIMOUSINE,40.544833,-74.16503,07/12/2023,18:00:13,"(40.544833, -74.16503)"
B03368,BEST CHOICE CAR SERVIE CORPORATION,3474687823,No,7527,197 STREET  2ND FLOOR,FRESH MEADOWS,NY,11366,BLACK CAR BASE,40.7327926,-73.7735376,07/12/2023,18:00:13,"(40.7327926, -73.7735376)"
B03441,ROYAL EXECUTIVE LIMO INC,9172773356,No,1378,SWEETMAN AVE  2,ELMONT,NY,11003,LUXURY/LIMOUSINE,40.7012909,-73.6920175,07/12/2023,18:00:13,"(40.7012909, -73.6920175)"
B03206,KIDMOTO TECHNOLOGIES LLC,3476122091,No,2910,THOMPSON AVE  STE 760,LIC,NY,11101,BLACK CAR BASE,40.7447057,-73.9378899,07/12/2023,18:00:13,"(40.7447057, -73.9378899)"
B02794,ASAP LUXE INC,7183630046,No,1304,UTICA AVENUE,BROOKLYN,NY,11203,BLACK CAR BASE,40.640752,-73.92954,07/12/2023,18:00:13,"(40.640752, -73.92954)"
B02480,WOODHAVEN LIMOUSINE INC,7183742609,No,25-26,50 STREET  STE 209B,WOODSIDE,NY,11377,LUXURY/LIMOUSINE,40.763637,-73.904449,07/12/2023,18:00:13,"(40.763637, -73.904449)"
B01349,CAPRICORN LIMO SVC INC,7187293000,No,43-24,37TH STREET,LIC,NY,11101,LUXURY/LIMOUSINE,40.745178,-73.928076,07/12/2023,18:00:13,"(40.745178, -73.928076)"
B03424,LILIAS LUXURY CORP,7185777471,No,295,KNICKERBOCKER AVENUE,BROOKLYN,NY,11237,BLACK CAR BASE,40.7018978,-73.9234287,07/12/2023,18:00:13,"(40.7018978, -73.9234287)"
B03245,UASLUXURY1 INC,6466840001,No,85-56,118 STREET,KEW GARDENS,NY,11415,BLACK CAR BASE,40.7010375,-73.8326371,07/12/2023,18:00:13,"(40.7010375, -73.8326371)"
B03335,ADARA NEMT CORP,9295655001,No,3100,47TH AVENUE SUITE 3100,L.I.C.,NY,11101,BLACK CAR BASE,40.7427791,-73.9353777,07/12/2023,18:00:13,"(40.7427791, -73.9353777)"
B02840,RAELEEN CAR CORP.,7189753200,No,565,VAN NEST AVENUE,BRONX,NY,10460,BLACK CAR BASE,40.755734,-73.93795,07/12/2023,18:00:13,"(40.755734, -73.93795)"
B02532,COZY RIDE LIMOUSINE INC,7183595000,No,36-22A,UNION STREET  SUITE #3R,FLUSHING,NY,11354,BLACK CAR BASE,40.763441,-73.828039,07/12/2023,18:00:13,"(40.763441, -73.828039)"
B03375,MDM TRANSPORTATION CORP II,7183047336,No,548,THROGS NECK EXPRESSWAY,BRONX,NY,10465,BLACK CAR BASE,40.8257534,-73.8157679,07/12/2023,18:00:13,"(40.8257534, -73.8157679)"
B00559,7 OCEAN EXPRESS INC.,7182663333,No,2111,AVENUE Z,BROOKLYN,NY,11235,LIVERY BASE,40.588885,-73.947936,07/12/2023,18:00:13,"(40.588885, -73.947936)"
B02932,GRAND TRANSPORTATION SERVICES INC,7184334255,Yes,36-13,32ND STREET,LIC,NY,11106,BLACK CAR BASE,40.755937,-73.928979,07/12/2023,18:00:13,"(40.755937, -73.928979)"
B03181,EVEREST LUXURY CORP,3154003255,No,2322,ARTHUR AVENUE  SUITE 212A,BRONX,NY,10458,BLACK CAR BASE,40.8538364,-73.8888478,07/12/2023,18:00:13,"(40.8538364, -73.8888478)"
B03154,AGAPE LIMO CORP.,7187073141,No,560,SOUTHERN BOULEVARD,BRONX,NY,10455,LIVERY BASE,40.8122852,-73.903059,07/12/2023,18:00:13,"(40.8122852, -73.903059)"
B02416,"NEW STORM CAR SERVICE, INC.",7187276464,No,700,POST AVENUE,STATEN ISLAND,NY,10310,LIVERY BASE,40.631416,-74.125069,07/12/2023,18:00:13,"(40.631416, -74.125069)"
B03297,ABA LUXURY CAR INC.,7187556639,No,45-35,39TH STREET,SUNNYSIDE,NY,11104,LUXURY/LIMOUSINE,40.7495524,-73.9177114,07/12/2023,18:00:13,"(40.7495524, -73.9177114)"
B03273,ELEGANT LUXURY LIMO LLC,8558888595,No,266,JERICHO TURNPIKE,FLORAL PARK,NY,11001,LUXURY/LIMOUSINE,40.7290104,-73.7009209,07/12/2023,18:00:13,"(40.7290104, -73.7009209)"
B01559,MUNKACS CAR SVC LTD,7188541267,No,4002,14 AVENUE,BROOKLYN,NY,11218,LIVERY BASE,40.638787,-73.984991,07/12/2023,18:00:13,"(40.638787, -73.984991)"
B02736,TRINITY CAR SERVICE INC,7183228700,No,134-15,ROCKAWAY BOULEVARD,SOUTH OZONE PK,NY,11420,LIVERY BASE,40.674804,-73.80358,07/12/2023,18:00:13,"(40.674804, -73.80358)"
B03263,RITZY TRANSPORTATION CORP.,7183134977,No,207,WICKSHIRE DRIVE,EAST MEADOWS,NY,11554,BLACK CAR BASE,40.7181961,-73.5715922,07/12/2023,18:00:13,"(40.7181961, -73.5715922)"
B01803,"V.I.P. CONNECTION, INC.",7183926100,No,53-38,35 STREET,LIC,NY,11101,BLACK CAR BASE,40.735324,-73.938114,07/12/2023,18:00:13,"(40.735324, -73.938114)"
B01738,SAETA CAR SERVICE INC.,7188994444,No,80-01,31 AVENUE,EAST ELMHURST,NY,11370,LIVERY BASE,40.759078,-73.88774,07/12/2023,18:00:13,"(40.759078, -73.88774)"
B02969,LYFE AUTO GROUP INC,7187066234,No,32-10,GREENPOINT AVENUE,LIC,NY,11101,BLACK CAR BASE,40.734944,-73.935733,07/12/2023,18:00:13,"(40.734944, -73.935733)"
B03341,STANDARDLUX INC.,3473365559,No,2765,ATLANTIC AVENUE,BROOKLYN,NY,11207,BLACK CAR BASE,40.6765606,-73.8924173,07/12/2023,18:00:13,"(40.6765606, -73.8924173)"
B90738,"ABC, A BETTER CHOICE INC.",5168383880,No,27,CENTER LANE,LEVITTOWN,NY,11756,PARATRANSIT BASE,40.723223,-73.5246396,07/12/2023,18:00:13,"(40.723223, -73.5246396)"
B03164,KISS LUXURY TRANSPORTATION INC.,7183670303,No,2811,WHITE PLAINS RD,BRONX,NY,10467,BLACK CAR BASE,40.8668432,-73.8675043,07/12/2023,18:00:13,"(40.8668432, -73.8675043)"
B01282,NEW LOTS C/S INC,7182722222,No,603,NEW LOTS AVENUE,BROOKLYN,NY,11207,LIVERY BASE,40.664829,-73.886868,07/12/2023,18:00:13,"(40.664829, -73.886868)"
B03135,28 EXPRESS INC.,9292299957,No,133-48,37 AVENUE,FLUSHING,NY,11354,BLACK CAR BASE,40.7101523,-73.7928657,07/12/2023,18:00:13,"(40.7101523, -73.7928657)"
B02803,OUTSIDE'S CAR SERVICE INC.,6463637027,No,1975,LAFONTAINE AVENUE,BRONX,NY,10457,LIVERY BASE,40.846957,-73.894439,07/12/2023,18:00:13,"(40.846957, -73.894439)"
B00445,JOE M LEASING CORP,7187462222,No,150-39,14TH AVENUE  2ND FLOOR,WHITESTONE,NY,11357,LIVERY BASE,40.789522,-73.813228,07/12/2023,18:00:13,"(40.789522, -73.813228)"
B00556,SURREY CADILLAC LIMO SVC INC,2123551727,No,439,EAST 77TH STREET,NEW YORK,NY,10075,LUXURY/LIMOUSINE,40.770569,-73.95198,07/12/2023,18:00:13,"(40.770569, -73.95198)"
B01088,PAISA 2 CAR  AND LIMOUSINE SERVICE INC,7184787700,No,37-08,100TH STREET,CORONA,NY,11368,LIVERY BASE,40.738362,-73.895646,07/12/2023,18:00:13,"(40.738362, -73.895646)"
B03435,AJC CAR SERVICE CORPORATION,9295017377,No,3418,NORTHERN BOULEVARD  VO2,L.I.C.,NY,11101,BLACK CAR BASE,40.7517583,-73.929177,07/12/2023,18:00:13,"(40.7517583, -73.929177)"
B00706,"VIC & BAY CAR SERVICE, INC",7184472500,No,337,VAN DUZER STREET,STATEN ISLAND,NY,10304,LIVERY BASE,40.637194,-74.076872,07/12/2023,18:00:13,"(40.637194, -74.076872)"
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,7184790400,No,200-10,HOLLIS AVENUE,ST. ALBANS,NY,11412,LIVERY BASE,40.705938,-73.75715,07/12/2023,18:00:13,"(40.705938, -73.75715)"
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,7184816363,No,145-117,GUY R BREWER BOULEVARD,JAMAICA,NY,11434,LIVERY BASE,40.66315,-73.768138,07/12/2023,18:00:13,"(40.66315, -73.768138)"
B01424,EAGLE CAR & LIMO LTD.,7187452000,No,1709,79 STREET,BROOKLYN,NY,11214,LIVERY BASE,40.612363,-74.000396,07/12/2023,18:00:13,"(40.612363, -74.000396)"
B03145,YERZ CAR INC.,7185048383,No,1018,CASTLE HILL AVENUE  OFFICE#2,BRONX,NY,10472,BLACK CAR BASE,40.8280872,-73.8498818,07/12/2023,18:00:13,"(40.8280872, -73.8498818)"
B02120,HARRISON GLOBAL LLC,9733760145,No,780,DOWD AVENUE,ELIZABETH,NJ,07201,LUXURY/LIMOUSINE,40.672805,-74.191579,07/12/2023,18:00:13,"(40.672805, -74.191579)"
B01452,AREAS TRANSP INC,7189673232,No,5230,ARTHUR KILL ROAD,STATEN ISLAND,NY,10307,LIVERY BASE,40.515342,-74.244236,07/12/2023,18:00:13,"(40.515342, -74.244236)"
B03480,EZ DONE SERVICES CORP,8007691861,No,3418,NORTHERN BLVD  V05,LONGISLAND CITY,NY,11101,BLACK CAR BASE,40.7517583,-73.929177,07/12/2023,18:00:13,"(40.7517583, -73.929177)"
B03408,ABR LUXURY TRANSPORTATION CORP.,3472523200,No,3418,NORTHERN BOULEVARD  SUITE 39,L.I.C.,NY,11101,BLACK CAR BASE,40.7517583,-73.929177,07/12/2023,18:00:13,"(40.7517583, -73.929177)"
B01938,"ALL STAR LIMOUSINE SERVICE, LTD.",6317531234,No,380,NEW HWAY,LINDENHURST,NY,11757,LUXURY/LIMOUSINE,40.717012,-73.406118,07/12/2023,18:00:13,"(40.717012, -73.406118)"
B01118,INTERNATIONAL CAR SERVICE INC.,7182300808,No,623,WASHINGTON AVENUE,BROOKLYN,NY,11238,LIVERY BASE,40.678872,-73.96373,07/12/2023,18:00:13,"(40.678872, -73.96373)"
B02249,"LA RAZA CAR SERVICE, INC.",7183971111,No,80-01,31ST AVENUE,EAST ELMHURST,NY,11370,LIVERY BASE,40.759225,-73.887802,07/12/2023,18:00:13,"(40.759225, -73.887802)"
B03033,FLEX EXPRESS CORP.,7186025000,No,1266,MYRTLE AVENUE,BROOKLYN,NY,11221,BLACK CAR BASE,40.6977861,-73.9266846,07/12/2023,18:00:13,"(40.6977861, -73.9266846)"
B03304,ADRIS TRANSPORTATION INC,7187342771,No,73,MARKET STREET  3RD FLOOR,YONKERS,NY,10710,BLACK CAR BASE,40.9629015,-73.8565801,07/12/2023,18:00:13,"(40.9629015, -73.8565801)"
B00208,ERNEST SCHWARZ INC,8778114846,No,15,CHAIN LANE,HICKSVILLE,NY,11801,LUXURY/LIMOUSINE,40.745993,-73.515605,07/12/2023,18:00:13,"(40.745993, -73.515605)"
B02825,GUADALUPANA II CAR & LIMO INC,7186210404,No,6506,20 AVE,BROOKLYN,NY,11204,BLACK CAR BASE,40.616294,-73.98612,07/12/2023,18:00:13,"(40.616294, -73.98612)"
B02173,ADMIRE LLP LLC,9086885777,No,2421,IORIO COURT  STE B,UNION,NJ,07083,LUXURY/LIMOUSINE,40.694913,-74.2986,07/12/2023,18:00:13,"(40.694913, -74.2986)"
B03311,EDL TRANSPORTATION SERVICES LLC.,3472701668,No,169,LINCOLN AVENUE  SUITE #205,BRONX,NY,10454,BLACK CAR BASE,40.8093689,-73.9287755,07/12/2023,18:00:13,"(40.8093689, -73.9287755)"
B03211,GREENLIGHT TRANSPORTATION SERVICE LLC,7184806875,No,101-20,LIBERTY AVENUE,OZONE PARK,NY,11417,BLACK CAR BASE,40.6811834,-73.8386615,07/12/2023,18:00:13,"(40.6811834, -73.8386615)"
B90664,SALMA TRANSPORTATION LLC,5165022018,No,253,JERICHO TKPE,NEW HYDE PARK,NY,11040,PARATRANSIT BASE,40.732829,-73.682281,07/12/2023,18:00:13,"(40.732829, -73.682281)"
B03512,440 CAR SERVICE BLACK INC,7189194040,No,1266,MYRTLE AVENUE,BROOKLYN,NY,11221,BLACK CAR BASE,40.6977861,-73.9266846,07/12/2023,18:00:13,"(40.6977861, -73.9266846)"
B03168,KAYROS TRANSPORTATION INC,9174408678,No,726,BROADWAY,BAYONNE,NJ,07002,BLACK CAR BASE,40.6717762,-74.1114053,07/12/2023,18:00:13,"(40.6717762, -74.1114053)"
B90701,CATHAY EXPRESS TRANSPORTATION INC,2123373333,No,98-51,QUEENS BOULEVARD  SUITE #2G,REGO PARK,NY,11374,PARATRANSIT BASE,40.728061,-73.856072,07/12/2023,18:00:13,"(40.728061, -73.856072)"
B00625,"CENTRAL CAR SERVICES,INC.",7183354141,No,94-12,ASTORIA BOULEVARD,EAST ELMHURST,NY,11369,LIVERY BASE,40.762639,-73.874743,07/12/2023,18:00:13,"(40.762639, -73.874743)"
B03483,ROSEWOOD SERVICE CORP.,9176723159,No,115,NORTH BROADWAY  SUITE 205,HICKSVILLE,NY,11801,LUXURY/LIMOUSINE,40.7719023,-73.5267805,07/12/2023,18:00:13,"(40.7719023, -73.5267805)"
B80107,FLUSHING VAN SERVICE INC,7182362082,No,86,BOWERY  2B,NEW YORK,NY,10013,COMMUTER VAN AUTHORITY BASE,40.717173,-73.995852,07/12/2023,18:00:13,"(40.717173, -73.995852)"
B01678,"G.T.N.Y. CAR SERVICE, INC.",2123042222,Yes,2320,HUGHES AVENUE,BRONX,NY,10458,LIVERY BASE,40.864581,-73.92253,07/12/2023,18:00:13,"(40.864581, -73.92253)"
B01083,BROAD DYCKMAN C/S INC,2123048080,No,203,DYCKMAN STREET,NEW YORK,NY,10040,LIVERY BASE,40.864833,-73.92718,07/12/2023,18:00:13,"(40.864833, -73.92718)"
B01362,AMERICAN BASE NO.1 INC.,7186656664,No,3077,3RD AVENUE,BRONX,NY,10451,LIVERY BASE,40.814476,-73.914387,07/12/2023,18:00:13,"(40.814476, -73.914387)"
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2127777777,No,43-23,35 STREET,LIC,NY,11101,LIVERY BASE,40.745471,-73.929332,07/12/2023,18:00:13,"(40.745471, -73.929332)"
B03288,JAROCHO CAR SERVICE CORP.,7184487180,No,1224,FOREST AVE,STATEN ISLAND,NY,10310,BLACK CAR BASE,40.6261532,-74.130468,07/12/2023,18:00:13,"(40.6261532, -74.130468)"
B02611,SS LIMOUSINE SERVICE INC,8004202215,No,24-70,49 STREET  #01,ASTORIA,NY,11103,LUXURY/LIMOUSINE,40.76451,-73.90507,07/12/2023,18:00:13,"(40.76451, -73.90507)"
B03074,BLACKBIRD WORLDWIDE CORP,8666671559,No,1401,VALLEY RD  SUITE 311,WAYNE,NJ,07470,LUXURY/LIMOUSINE,40.9590831,-74.226683,07/12/2023,18:00:13,"(40.9590831, -74.226683)"
B03401,JSPS LUXURY CARS INC.,7182906265,No,1407,ROCKAWAY PKWY  2RT,BROOKLYN,NY,11236,BLACK CAR BASE,40.6456921,-73.9027297,07/12/2023,18:00:13,"(40.6456921, -73.9027297)"
B01436,NEW PRONTO TRANSP INC,7184575777,Yes,41-09,49 STREET,L.I.C.,NY,11104,LIVERY BASE,40.746164,-73.91524,07/12/2023,18:00:13,"(40.746164, -73.91524)"
B02148,MAVRIK TRANS INC.,5164884600,No,247-34,JERICHO TURNPIKE,BELLEROSE,NY,11001,BLACK CAR BASE,40.728467,-73.703462,07/12/2023,18:00:13,"(40.728467, -73.703462)"
B03534,NEW YORK BORI TRANSPORTATION LLC,3478886178,No,3010,EASTCHESTER ROAD,BRONX,NY,10469,BLACK CAR BASE,40.8698076,-73.842645,07/12/2023,18:00:13,"(40.8698076, -73.842645)"
B02254,"FINESSE GROUP LIMOUSINE,INC.",7182229999,No,424,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,BLACK CAR BASE,40.684202,-73.978792,07/12/2023,18:00:13,"(40.684202, -73.978792)"
B01699,DT BROOKLYN CAR AND LIMO SVC. INC.,7182308100,No,956,JAMAICA AVENUE,BROOKLYN,NY,11208,LIVERY BASE,40.687695,-73.972561,07/12/2023,18:00:13,"(40.687695, -73.972561)"
B03505,LA ECUATORIANA LUXURY INC,7183006040,No,2402,86 STREET,BROOKLYN,NY,11214,BLACK CAR BASE,40.5988071,-73.989239,07/12/2023,18:00:13,"(40.5988071, -73.989239)"
B02881,DIANE CAR AND LIMO SERVICE LLC,7185444444,No,71-19,80TH STREET  SUITE# 8310,GLENDALE,NY,11385,BLACK CAR BASE,40.717248,-73.857586,07/12/2023,18:00:13,"(40.717248, -73.857586)"
B02522,CHAUFFEURED EXECUTIVE TRANSPORTATION LLC,7188464455,No,86-11,LEFFERTS BOULEVARD  CELLAR FLOOR,RICHMOND HILL,NY,11418,LUXURY/LIMOUSINE,40.695811,-73.827203,07/12/2023,18:00:13,"(40.695811, -73.827203)"
B00350,A & A CHAMPION CAR LIMO SVC INC,7187798080,No,107-04,37 AVENUE,CORONA,NY,11368,LIVERY BASE,40.753702,-73.86129,07/12/2023,18:00:13,"(40.753702, -73.86129)"
B03166,TURING ENTERPRISES INC.,7182109995,No,2329,NOSTRAND AVENUE  SUITE 100,BROOKLYN,NY,11210,BLACK CAR BASE,40.6278888,-73.9467503,07/12/2023,18:00:13,"(40.6278888, -73.9467503)"
B03042,BAYRIDGE EXPRESS LUXYRY INC,7182383000,No,377,BAYRIDGE AVENUE,BROOKLYN,NY,11220,BLACK CAR BASE,40.7101523,-73.7928657,07/12/2023,18:00:13,"(40.7101523, -73.7928657)"
B03204,EXTRA CAR SERVICE LLC,7186841379,No,1041A,CASTLE HILL AVENUE,BRONX,NY,10472,BLACK CAR BASE,40.7101523,-73.7928657,07/12/2023,18:00:13,"(40.7101523, -73.7928657)"
B90522,UNIVERSAL CARRIER INC.,7186464444,No,1805,GRAVESEND NECK ROAD  2ND FLR,BROOKLYN,NY,11229,PARATRANSIT BASE,40.59599,-73.952765,07/12/2023,18:00:13,"(40.59599, -73.952765)"
B03440,METRO CAR SERVICE CORP.,7183847777,No,141,MAUJER STREET  1ST FLOOR,BROOKLYN,NY,11206,BLACK CAR BASE,40.7109081,-73.9450392,07/12/2023,18:00:13,"(40.7109081, -73.9450392)"
B03402,RL VIP LIMO INC,9294131346,No,41,MEDWAY AVE,CONGERS,NY,10920,LUXURY/LIMOUSINE,41.1413757,-73.935486,07/12/2023,18:00:13,"(41.1413757, -73.935486)"
B03124,MARR LIMO LLC,3477442474,No,177,WHITE PLAINS RD  77A,TARRYTOWN,NY,10591,LUXURY/LIMOUSINE,41.0652484,-73.8530039,07/12/2023,18:00:13,"(41.0652484, -73.8530039)"
B02546,X RADIO DISPATCHER INC.,7183283434,No,1161,SOUTHERN BOULEVARD,BRONX,NY,10459,LIVERY BASE,40.828016,-73.892244,07/12/2023,18:00:13,"(40.828016, -73.892244)"
